word size,number
0,0
4,0
8,0
12,0
16,0
20,0
24,0
28,0
32,0
36,0
40,0
44,0
48,0
52,0
56,0
60,1102
64,352
68,434
72,302
76,5124
80,117
84,73
88,35
92,74
96,36
100,50
104,34
108,27
112,29
116,23
120,10
124,27
128,7
132,31
136,21
140,5
144,9
148,11
152,23
156,9
160,6
164,13
168,15
172,17
176,8
180,1
184,5
188,6
192,6
196,2
200,4
204,2
208,0
212,6
216,0
220,2
224,0
228,1
232,1
236,0
240,1
244,0
248,1
252,0
256,0
260,0
264,1
268,3
272,0
276,0
280,0
284,0
288,0
292,0
296,0
300,0
304,0
